B.Code,value,table,field,issue,parent_table,issue_addressed,addressed_by_whom,notes
AF0001,CW-NT/CW-CT/WF-NT/WF-CT/WCF-NT/WCF-CT/WLF-NT/WLF-CT,MT.Out,T.Name,Missing value in compulsory field P.Product.,,FALSE,"",""
JO0036,HGAF-Coffee-0-30cm..HGAF-Khat-0-30cm..HGAF-Ensete-0-30cm..HGAF-Banana-0-30cm..HGAF-Avocado-0-30cm/HGAF-Coffee-30-60cm..HGAF-Khat-30-60cm..HGAF-Ensete-30-60cm..HGAF-Banana-30-60cm..HGAF-Avocado-30-60cm/HGAF-Coffee..HGAF-Khat..HGAF-Ensete..HGAF-Banana..HGAF-Avocado,MT.Out,T.Name,Missing value in compulsory field P.Product.,,FALSE,"",""
JO0063,CT-Mono W..CT-Mono-SB/NT-Mono W..NT-Mono-SB,MT.Out,T.Name,Missing value in compulsory field P.Product.,,FALSE,"",""
JO0093,511-Control..612-Control..614-Control/511-Fert 120N..612-Fert 120N..614-Fert 120N/511-Fert 120N0+10P..612-Fert 120N0+10P..614-Fert 120N0+10P/511-Fert 120N+25P..612-Fert 120N+25P..614-Fert 120N+25P/511-Fert 120N+50P..612-Fert 120N+50P..614-Fert 120N+50P/511-Fert 120N+150P..612-Fert 120N+150P..614-Fert 120N+150P/511-Calliandra..612-Calliandra..614-Calliandra/511-Senna..612-Senna..614-Senna/511-Croton..612-Croton..614-Croton/511-Lantana..612-Lantana..614-Lantana/511-Sesbania..612-Sesbania..614-Sesbania/511-Tithonia..612-Tithonia..614-Tithonia,MT.Out,T.Name,Missing value in compulsory field P.Product.,,FALSE,"",""
JO0157,SB M..SB T..SB B..SB FM..SB O..SB P/SBSM..SBS T..SBS B..SBS FM..SBS O..SBS P/StnBM..StnB T..StnB B..StnB FM..StnB O..StnB P/Control M..Control T..Control B..Control FM..Control O..Control P,MT.Out,T.Name,Missing value in compulsory field P.Product.,,FALSE,"",""
AC0033,Vachellia Xanthophloea,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
AC0042,Previous +P/Previous -P,MT.Out,O.Level.Name,Non-match for name in O.Level.Name column.,Other.Out,FALSE,"",""
AC0043,Chore,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
AC0052,Unspecified Hybrid,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
AC0075,SeedCo 633,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
AC0077.3,Maize,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
AC0147,Maize NT/Soybean NT,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
AC0153,20BB 2003/20BB 2006/20BO 2003/20BO 2006/20BO 2007/20BO 2007.2/20BOCV 2004/20BOCV 2005/20M 2004/20M 2005/20M 2007/20PM/20SH/40BB 2003/40BB 2006/40BO 2003/40BO 2006/40BO 2007/40BO 2007.2/40BOCV 2004/40BOCV 2005/40M 2004/40M 2005/40M 2007/40PM/40SH/80BB 2003/80BB 2006/80BO 2003/80BO 2006/80BO 2007/80BO 2007.2/80BOCV 2004/80BOCV 2005/80M 2004/80M 2005/80M 2007/80PM/80SH/BO 2001 20/BO 2001 40/BO 2001 80/BO 2002 20/BO 2002 40/BO 2002 80/PM 2001 20/PM 2001 40/PM 2001 80/PM 2002 20/PM 2002 40/PM 2002 80/Radish 2001 20/Radish 2001 40/Radish 2001 80/Radish 2002 20/Radish 2002 40/Radish 2002 80,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
CJ0003,Intercrop lab lab/intercrop maize/sole lab lab/sole maize,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0007,Teff- bako,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0010,border King,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
CJ0046,HW,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
CJ0052,mori,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
CJ0078,Maize CT and MT/Maize NT,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
CJ0081,Maize/Potato,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
CJ0082,Soung-pungun,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
CJ0090,Cabbage/Velvet Bean,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
CJ0118,Wheat,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
CJ0120,Wheat,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
CJ0133,136.2,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
CJ0134,0078-ppl,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
CJ0159,potato,MT.Out,M.Level.Name,Non-match for name in M.Level.Name column.,Res.Out,FALSE,"",""
CJ0159,potato,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
CJ0163,Pigeon Pea,MT.Out,C.Level.Name,Non-match for name in C.Level.Name column.,Chems.Code,FALSE,"",""
CJ0178,HB-1307,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
CJ0182.1,N138P69_K40S0/N138P69_K40S20/N138P69_K40S40/N138P69_K80S0/N138P69_K80S20/N138P69_K80S40/N138P69_KOS20/N138P69_KOS40/N138P69_KOSO/N46P23_K40S0/N46P23_K40S20/N46P23_K40S40/N46P23_K80S0/N46P23_K80S20/N46P23_K80S40/N46P23_KOS20/N46P23_KOS40/N46P23_KOSO/N92P46_K40S0/N92P46_K40S20/N92P46_K40S40/N92P46_K80S0/N92P46_K80S20/N92P46_K80S40/N92P46_KOS20/N92P46_KOS40/N92P46_KOSO/NOPO_K40S0/NOPO_K40S20/NOPO_K40S40/NOPO_K80S0/NOPO_K80S20/NOPO_K80S40/NOPO_KOS20/NOPO_KOS40,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
CJ0185,PABLO/SOUMBA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
DM0006,Planting,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
DM0026,Coffee/Macadamia,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
HK0258.2,Lime,MT.Out,pH.Level.Name,Non-match for name in pH.Level.Name column.,pH.Out,FALSE,"",""
JO0002,25% Above rec Amber-2Cal/25% Above rec Amber-2Dol/25% Below rec Amber-2Cal/25% Below rec Amber-2Dol/Recommen. Rate Amber-2Cal/Recommen. Rate Amber-2Dol/Without lime Amber-2Cal/Without lime Amber-2Dol,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0003,3_0WD,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
JO0014,50 DWACE/NWC/WF,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
JO0020,100NPK+150NPK,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0031,Maize NPK+Lime,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0042,Cowpea dates/Maize dates,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
JO0051,2100-BAND/4200-BAND,MT.Out,pH.Level.Name,Non-match for name in pH.Level.Name column.,pH.Out,FALSE,"",""
JO0064,BEAN,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
JO0070,BRS pujante,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
JO0072,Millettia ferruginea/Olea welwitshii/Pouteria adolfi-friederici,MT.Out,AF.Level.Name,Non-match for name in AF.Level.Name column.,AF.Out,FALSE,"",""
JO0075,CB/MZ/WH,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
JO0082,LHF-14/LHF-7,MT.Out,H.Level.Name,Non-match for name in H.Level.Name column.,Har.Out,FALSE,"",""
JO0107,NPK-1+UREA/NPK-2+UREA,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
JO0122,GEB-Br/GEB-Rp/HUL-Br/HUL-Rp,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0179,JAYA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
JO0191,CL/CTN/MZ/WH,MT.Out,P.Level.Name,Non-match for name in P.Level.Name column.,Plant.Out,FALSE,"",""
JO0191,CL-D,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
JS0102,JAYA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
JS0104,JAYA,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
NM0006,SST015,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
NM0022,Common bean,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
NM0049,Maize/Wheat,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
NM0049,Weeding,MT.Out,W.Level.Name,Non-match for name in W.Level.Name column.,Weed.Code,FALSE,"",""
NM0062,Perola,MT.Out,V.Level.Name,Non-match for name in V.Level.Name column.,Var.Out,FALSE,"",""
NM0075,Cover crops/Maize,MT.Out,PD.Level.Name,Non-match for name in PD.Level.Name column.,PD.Codes,FALSE,"",""
NN0168,20N/30N /40N,MT.Out,F.Level.Name,Non-match for name in F.Level.Name column.,Fert.Out,FALSE,"",""
