B.Code,value,table,field,issue,issue_addressed,addressed_by_whom,notes
AC0041,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
AC0083,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
AC0167,"row =  6.25 , station = 45",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
CJ0020,Maize/Common Bean,Plant.Method,P.Level.Name,Duplicate value in unique field.,FALSE,"",""
CJ0020,Maize/Common Bean,Plant.Out,P.Level.Name,Duplicate value in unique field.,FALSE,"",""
CJ0037,"row =  75 , station = 100",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 133",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0037,"row =  75 , station = 90",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,"Correct, compared to text"
CJ0116,Legume,Plant.Out,P.Level.Name,Duplicate value in unique field.,FALSE,"",""
CJ0125,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
DM0008,"row =  90 , station = 150",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
DM0018,"row =  20 , station = 30",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
HK0002,"row =  75 , station = 80",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
JO0026,"row =  30 , station = 40",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,Ill-described in the text. It is likely correct.
JO0164,"row =  40 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
JS0204,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
JS0216,sorghum,Plant.Method,P.Level.Name,Duplicate value in unique field.,FALSE,"",""
JS0411,"row =  250 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
LM0168,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
LM0171,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
NM0120,"row =  200 , station = 300",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
NN0466,"row =  30 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,This correct
NN0479,"row =  25 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
NN0537,"row =  45 , station = 50",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",FALSE,"",""
SP0020,"row =  400 , station = 600",Plant.Method,P.Level.Name,"Row spacing is less than station spacing, possible error.",TRUE,Alvaro,Ill-described in the text. It is likely correct.
